,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,100,PF,1567741483,70,-23.12,-134.97,68.34,13.87
1,Isangel,20,VU,1567741484,57,-19.55,169.27,77.0,16.11
2,Nome,1,US,1567741484,74,30.04,-94.42,86.0,7.11
3,Puerto Ayora,1,EC,1567741484,98,-0.74,-90.35,66.99,1.01
4,Vestmannaeyjar,100,IS,1567741484,87,63.44,-20.27,50.13,5.35
5,Bredasdorp,0,ZA,1567741485,76,-34.53,20.04,52.0,6.93
6,Punta Arenas,20,CL,1567741485,92,-53.16,-70.91,30.2,6.93
7,Bethel,90,US,1567741485,93,60.79,-161.76,55.4,20.8
8,Anadyr,20,RU,1567741485,58,64.73,177.51,53.6,4.47
9,Hilo,75,US,1567741486,65,19.71,-155.08,82.4,8.05
10,Ler,75,NO,1567741486,81,63.2,10.3,48.2,18.34
11,Filadelfia,98,PY,1567741486,47,-22.35,-60.04,63.63,6.11
12,Butaritari,0,KI,1567741486,69,3.07,172.79,84.74,10.29
13,Jamestown,72,AU,1567741452,72,-33.21,138.6,51.87,24.65
14,Dumas,75,IN,1567741487,94,21.09,72.71,82.4,8.93
15,Edson,75,CA,1567741487,59,53.59,-116.44,60.8,5.82
16,Vaini,75,IN,1567741487,94,15.34,74.49,73.4,13.87
17,Riyadh,66,SA,1567741488,19,24.63,46.72,87.8,2.24
18,Moa,50,CU,1567741488,97,20.66,-74.95,70.63,3.83
19,Portland,1,US,1567741488,76,43.66,-70.25,57.99,2.21
20,Georgetown,0,GY,1567741388,94,6.8,-58.16,77.0,3.36
21,Solnechnyy,72,RU,1567741489,64,50.72,136.64,73.08,1.77
22,Mount Isa,0,AU,1567741489,14,-20.73,139.49,91.4,6.93
23,Havelock,90,US,1567741489,83,34.88,-76.9,80.01,21.92
24,Bluff,0,AU,1567741489,11,-23.58,149.07,87.82,9.08
25,Tuktoyaktuk,75,CA,1567741490,93,69.44,-133.03,50.0,3.13
26,Saint-Philippe,1,CA,1567741490,76,45.36,-73.48,60.01,2.24
27,Vila Franca do Campo,75,PT,1567741490,72,37.72,-25.43,71.01,6.93
28,Carnarvon,0,ZA,1567741490,63,-30.97,22.13,46.33,13.69
